frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
171,5683.0,29,493,305,,,,,,,,,,,,,,,
172,5715.3,30,491,316,,,,,,,,,,,,,,,
173,5750.9,31,489,335,,,,,,,,,,,,,,,
174,5782.7,32,492,361,,,,,,,,,,,,,,,
175,5814.9,31,491,391,,,,,,,,,,,,,,,
176,5850.8,31,491,420,,,,,,,,,,,,,,,
177,5882.9,30,490,445,,,,,,,,,,,,,,,
178,5915.5,30,491,465,,,,,,,,,,,,,,,
179,5950.7,29,491,475,,,,,,,,,,,,,,,
180,5982.9,29,491,475,,,,,,,,,,,,,,,
181,6014.8,30,489,465,,,,,,,,,,,,,,,
182,6050.8,32,487,445,,,,,,,,,,,,,,,
183,6084.2,34,489,418,,,,,,,,,,,,,,,
184,6115.1,33,487,387,,,,,,,,,,,,,,,
185,6151.6,32,487,358,,,,,,,,,,,,,,,
186,6183.2,31,484,331,,,,,,,,,,,,,,,
187,6215.6,30,486,313,,,,,,,,,,,,,,,
188,6250.9,29,486,303,,,,,,,,,,,,,,,
189,6282.9,29,485,304,,,,,,,,,,,,,,,
190,6314.7,30,483,315,,,,,,,,,,,,,,,
191,6350.8,31,482,334,,,,,,,,,,,,,,,
192,6383.1,31,481,362,,,,,,,,,,,,,,,
193,6414.9,31,480,389,,,,,,,,,,,,,,,
194,6450.9,32,481,419,,,,,,,,,,,,,,,
195,6483.1,30,480,445,,,,,,,,,,,,,,,
196,6515.0,29,482,464,,,,,,,,,,,,,,,
197,6551.2,28,482,475,,,,,,,,,,,,,,,
198,6582.7,29,482,475,,,,,,,,,,,,,,,
199,6614.8,30,484,466,,,,,,,,,,,,,,,
200,6650.8,31,482,447,,,,,,,,,,,,,,,
201,6683.1,32,481,420,,,,,,,,,,,,,,,
202,6716.0,32,484,390,,,,,,,,,,,,,,,
203,6750.7,33,487,360,,,,,,,,,,,,,,,
204,6783.9,32,487,334,,,,,,,,,,,,,,,
205,6821.5,30,488,315,,,,,,,,,,,,,,,
206,6850.9,29,490,305,,,,,,,,,,,,,,,
207,6883.1,29,491,305,,,,,,,,,,,,,,,
208,6915.1,30,491,316,,,,,,,,,,,,,,,
209,6953.5,31,492,334,,,,,,,,,,,,,,,
210,6983.4,32,490,360,,,,,,,,,,,,,,,
211,7014.9,32,491,389,,,,,,,,,,,,,,,
212,7051.3,31,492,418,,,,,,,,,,,,,,,
213,7082.8,30,492,443,,,,,,,,,,,,,,,
214,7117.4,29,492,463,,,,,,,,,,,,,,,
215,7150.8,29,493,474,,,,,,,,,,,,,,,
216,7183.8,29,493,475,,,,,,,,,,,,,,,
217,7214.9,30,491,466,,,,,,,,,,,,,,,
218,7250.9,32,491,446,,,,,,,,,,,,,,,
219,7283.0,33,489,421,,,,,,,,,,,,,,,
220,7314.8,33,489,390,,,,,,,,,,,,,,,
221,7350.8,33,487,360,,,,,,,,,,,,,,,
222,7382.9,32,487,334,,,,,,,,,,,,,,,
223,7414.9,31,487,314,,,,,,,,,,,,,,,
224,7453.5,29,487,303,,,,,,,,,,,,,,,
225,7483.6,29,486,303,,,,,,,,,,,,,,,
226,7515.1,30,485,314,,,,,,,,,,,,,,,
227,7550.6,31,483,333,,,,,,,,,,,,,,,
228,7582.8,31,482,358,,,,,,,,,,,,,,,
229,7616.0,33,479,386,,,,,,,,,,,,,,,
230,7651.1,32,482,416,,,,,,,,,,,,,,,
231,7684.6,30,480,443,,,,,,,,,,,,,,,
232,7714.8,30,481,463,,,,,,,,,,,,,,,
233,7750.7,28,481,474,,,,,,,,,,,,,,,
234,7786.3,28,482,475,,,,,,,,,,,,,,,
235,7815.1,29,481,467,,,,,,,,,,,,,,,
236,7850.8,32,482,448,,,,,,,,,,,,,,,
237,7883.1,32,479,422,,,,,,,,,,,,,,,
238,7914.9,33,480,391,,,,,,,,,,,,,,,
239,7951.2,33,485,363,,,,,,,,,,,,,,,
240,7982.9,32,485,336,,,,,,,,,,,,,,,
241,8017.2,31,484,316,,,,,,,,,,,,,,,
242,8050.9,29,488,306,,,,,,,,,,,,,,,
243,8084.0,29,489,305,,,,,,,,,,,,,,,
244,8115.6,30,488,316,,,,,,,,,,,,,,,
245,8151.0,30,489,334,,,,,,,,,,,,,,,
246,8183.9,31,489,357,,,,,,,,,,,,,,,
247,8215.0,31,490,386,,,,,,,,,,,,,,,
248,8250.8,32,490,415,,,,,,,,,,,,,,,
249,8283.0,31,494,442,,,,,,,,,,,,,,,
250,8315.3,30,492,462,,,,,,,,,,,,,,,
251,8350.8,29,493,474,,,,,,,,,,,,,,,
252,8383.6,29,494,475,,,,,,,,,,,,,,,
253,8417.2,30,493,467,,,,,,,,,,,,,,,
254,8451.1,31,492,450,,,,,,,,,,,,,,,
255,8483.1,33,492,423,,,,,,,,,,,,,,,
256,8515.1,33,491,393,,,,,,,,,,,,,,,
257,8550.9,34,490,363,,,,,,,,,,,,,,,
258,8589.5,32,491,337,,,,,,,,,,,,,,,
259,8614.8,31,490,316,,,,,,,,,,,,,,,
260,8651.0,29,489,304,,,,,,,,,,,,,,,
261,8682.9,29,489,303,,,,,,,,,,,,,,,
262,8715.2,30,486,313,,,,,,,,,,,,,,,
263,8751.0,30,485,330,,,,,,,,,,,,,,,
264,8783.4,32,486,356,,,,,,,,,,,,,,,
265,8815.0,32,481,384,,,,,,,,,,,,,,,
266,8851.2,31,480,414,,,,,,,,,,,,,,,
267,8882.9,31,481,440,,,,,,,,,,,,,,,
268,8915.5,30,481,461,,,,,,,,,,,,,,,
269,8951.2,29,482,473,,,,,,,,,,,,,,,
270,8982.9,28,482,475,,,,,,,,,,,,,,,
271,9015.0,29,481,467,,,,,,,,,,,,,,,
