frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
82,2717.0,28,497,372,,,,,,,,,,,,,,,
83,2752.8,29,497,371,,,,,,,,,,,,,,,
84,2784.9,29,497,369,,,,,,,,,,,,,,,
85,2817.0,28,497,368,,,,,,,,,,,,,,,
86,2852.9,29,498,366,,,,,,,,,,,,,,,
87,2885.0,29,497,363,,,,,,,,,,,,,,,
88,2917.1,29,497,361,,,,,,,,,,,,,,,
89,2952.9,28,498,360,,,,,,,,,,,,,,,
90,2984.8,29,498,359,,,,,,,,,,,,,,,
91,3016.9,29,498,358,,,,,,,,,,,,,,,
92,3052.6,28,498,360,,,,,,,,,,,,,,,
93,3085.4,29,497,361,,,,,,,,,,,,,,,
94,3117.3,29,498,363,,,,,,,,,,,,,,,
95,3152.5,29,496,365,,,,,,,,,,,,,,,
96,3184.7,29,497,367,,,,,,,,,,,,,,,
97,3218.0,29,497,369,,,,,,,,,,,,,,,
98,3252.9,29,496,370,,,,,,,,,,,,,,,
99,3285.0,29,496,371,,,,,,,,,,,,,,,
100,3317.2,29,495,371,,,,,,,,,,,,,,,
101,3353.1,29,495,369,,,,,,,,,,,,,,,
102,3384.9,29,495,368,,,,,,,,,,,,,,,
103,3417.8,29,495,366,,,,,,,,,,,,,,,
104,3452.9,29,494,363,,,,,,,,,,,,,,,
105,3484.8,29,495,361,,,,,,,,,,,,,,,
106,3516.9,29,495,360,,,,,,,,,,,,,,,
107,3553.2,29,494,358,,,,,,,,,,,,,,,
108,3585.0,29,494,358,,,,,,,,,,,,,,,
109,3617.0,29,494,358,,,,,,,,,,,,,,,
110,3653.1,29,495,359,,,,,,,,,,,,,,,
111,3685.0,29,495,361,,,,,,,,,,,,,,,
112,3717.1,29,495,363,,,,,,,,,,,,,,,
113,3752.7,29,495,365,,,,,,,,,,,,,,,
114,3785.0,28,495,368,,,,,,,,,,,,,,,
115,3818.0,29,496,369,,,,,,,,,,,,,,,
116,3853.1,29,495,370,,,,,,,,,,,,,,,
117,3884.9,28,496,373,,,,,,,,,,,,,,,
118,3918.8,29,495,375,,,,,,,,,,,,,,,
119,3953.1,29,496,376,,,,,,,,,,,,,,,
120,3985.1,28,497,378,,,,,,,,,,,,,,,
121,4017.0,28,498,380,,,,,,,,,,,,,,,
122,4054.4,28,498,385,,,,,,,,,,,,,,,
123,4086.3,28,496,390,,,,,,,,,,,,,,,
124,4117.9,28,495,394,,,,,,,,,,,,,,,
125,4153.3,28,495,399,,,,,,,,,,,,,,,
126,4185.6,28,495,403,,,,,,,,,,,,,,,
127,4216.9,28,495,407,,,,,,,,,,,,,,,
128,4252.6,28,495,411,,,,,,,,,,,,,,,
129,4284.6,28,496,414,,,,,,,,,,,,,,,
130,4316.9,28,494,417,,,,,,,,,,,,,,,
131,4352.7,28,493,420,,,,,,,,,,,,,,,
132,4388.8,29,493,422,,,,,,,,,,,,,,,
133,4427.1,28,493,424,,,,,,,,,,,,,,,
134,4452.7,28,492,427,,,,,,,,,,,,,,,
135,4484.9,28,492,429,,,,,,,,,,,,,,,
136,4516.9,28,492,431,,,,,,,,,,,,,,,
137,4554.4,28,492,434,,,,,,,,,,,,,,,
138,4585.1,28,492,437,,,,,,,,,,,,,,,
139,4619.1,28,491,440,,,,,,,,,,,,,,,
140,4653.1,28,492,443,,,,,,,,,,,,,,,
141,4684.8,28,491,446,,,,,,,,,,,,,,,
142,4720.9,28,491,448,,,,,,,,,,,,,,,
143,4752.9,28,491,450,,,,,,,,,,,,,,,
144,4784.9,28,492,453,,,,,,,,,,,,,,,
145,4817.8,28,491,455,,,,,,,,,,,,,,,
146,4852.7,28,492,457,,,,,,,,,,,,,,,
147,4885.0,28,493,459,,,,,,,,,,,,,,,
148,4917.1,28,492,462,,,,,,,,,,,,,,,
149,4956.1,28,492,464,,,,,,,,,,,,,,,
150,4986.6,28,493,466,,,,,,,,,,,,,,,
151,5017.6,28,492,467,,,,,,,,,,,,,,,
152,5053.0,28,492,468,,,,,,,,,,,,,,,
153,5085.6,28,493,470,,,,,,,,,,,,,,,
154,5117.2,28,492,470,,,,,,,,,,,,,,,
155,5152.6,28,493,469,,,,,,,,,,,,,,,
156,5184.7,28,492,464,,,,,,,,,,,,,,,
157,5217.0,30,492,451,,,,,,,,,,,,,,,
158,5252.7,31,490,427,,,,,,,,,,,,,,,
159,5287.7,33,492,396,,,,,,,,,,,,,,,
160,5318.2,33,492,359,,,,,,,,,,,,,,,
161,5352.6,32,490,324,,,,,,,,,,,,,,,
162,5393.1,33,494,294,,,,,,,,,,,,,,,
163,5417.2,30,494,274,,,,,,,,,,,,,,,
164,5452.8,29,494,265,,,,,,,,,,,,,,,
165,5484.9,29,495,268,,,,,,,,,,,,,,,
166,5517.0,31,497,283,,,,,,,,,,,,,,,
167,5554.1,31,497,307,,,,,,,,,,,,,,,
168,5585.6,31,497,338,,,,,,,,,,,,,,,
169,5617.0,31,499,373,,,,,,,,,,,,,,,
170,5652.8,30,498,405,,,,,,,,,,,,,,,
171,5688.8,29,501,435,,,,,,,,,,,,,,,
172,5720.8,29,503,456,,,,,,,,,,,,,,,
173,5752.9,28,505,465,,,,,,,,,,,,,,,
174,5785.5,29,505,461,,,,,,,,,,,,,,,
175,5817.0,31,505,444,,,,,,,,,,,,,,,
176,5852.8,32,506,417,,,,,,,,,,,,,,,
177,5885.2,34,506,382,,,,,,,,,,,,,,,
178,5917.5,34,506,345,,,,,,,,,,,,,,,
179,5953.0,33,507,312,,,,,,,,,,,,,,,
180,5984.9,31,508,285,,,,,,,,,,,,,,,
181,6019.1,30,508,267,,,,,,,,,,,,,,,
182,6052.9,30,508,262,,,,,,,,,,,,,,,
183,6085.0,30,507,270,,,,,,,,,,,,,,,
184,6117.1,31,506,288,,,,,,,,,,,,,,,
185,6152.9,33,506,315,,,,,,,,,,,,,,,
186,6185.1,32,502,349,,,,,,,,,,,,,,,
187,6216.8,32,503,384,,,,,,,,,,,,,,,
188,6253.3,31,500,415,,,,,,,,,,,,,,,
189,6286.7,30,501,442,,,,,,,,,,,,,,,
190,6316.9,29,500,460,,,,,,,,,,,,,,,
191,6353.0,28,500,464,,,,,,,,,,,,,,,
192,6391.9,30,498,457,,,,,,,,,,,,,,,
193,6417.2,32,496,435,,,,,,,,,,,,,,,
194,6452.8,33,493,406,,,,,,,,,,,,,,,
195,6484.9,34,493,370,,,,,,,,,,,,,,,
196,6517.5,33,493,334,,,,,,,,,,,,,,,
197,6553.0,32,490,303,,,,,,,,,,,,,,,
198,6585.0,32,489,279,,,,,,,,,,,,,,,
199,6624.8,29,489,267,,,,,,,,,,,,,,,
200,6656.9,29,488,266,,,,,,,,,,,,,,,
201,6684.9,31,487,277,,,,,,,,,,,,,,,
202,6717.1,32,484,298,,,,,,,,,,,,,,,
203,6752.9,32,484,327,,,,,,,,,,,,,,,
204,6785.2,31,484,362,,,,,,,,,,,,,,,
205,6816.7,31,485,396,,,,,,,,,,,,,,,
206,6852.7,32,486,426,,,,,,,,,,,,,,,
207,6884.8,30,488,450,,,,,,,,,,,,,,,
208,6918.1,28,489,463,,,,,,,,,,,,,,,
209,6952.9,29,489,463,,,,,,,,,,,,,,,
210,6984.8,30,491,451,,,,,,,,,,,,,,,
211,7016.9,33,489,426,,,,,,,,,,,,,,,
212,7053.0,33,492,394,,,,,,,,,,,,,,,
213,7085.3,35,492,356,,,,,,,,,,,,,,,
214,7119.9,33,494,322,,,,,,,,,,,,,,,
215,7154.7,33,495,292,,,,,,,,,,,,,,,
216,7185.1,31,499,273,,,,,,,,,,,,,,,
217,7217.2,29,501,264,,,,,,,,,,,,,,,
218,7253.1,30,501,267,,,,,,,,,,,,,,,
219,7291.0,31,502,281,,,,,,,,,,,,,,,
220,7316.8,32,501,306,,,,,,,,,,,,,,,
221,7352.9,32,504,338,,,,,,,,,,,,,,,
222,7388.8,31,504,373,,,,,,,,,,,,,,,
223,7417.2,32,506,406,,,,,,,,,,,,,,,
224,7453.0,31,505,436,,,,,,,,,,,,,,,
225,7485.1,30,505,455,,,,,,,,,,,,,,,
226,7518.7,28,505,464,,,,,,,,,,,,,,,
227,7552.8,30,503,460,,,,,,,,,,,,,,,
228,7585.0,31,504,443,,,,,,,,,,,,,,,
229,7617.0,33,499,415,,,,,,,,,,,,,,,
230,7653.3,35,498,380,,,,,,,,,,,,,,,
231,7686.5,35,496,344,,,,,,,,,,,,,,,
232,7716.9,33,495,312,,,,,,,,,,,,,,,
233,7752.8,32,493,286,,,,,,,,,,,,,,,
234,7788.7,30,493,270,,,,,,,,,,,,,,,
