frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
185,6147.2,28,524,603,,,,,,,,,,,,,,,
186,6180.2,28,526,621,,,,,,,,,,,,,,,
187,6211.6,28,526,641,,,,,,,,,,,,,,,
188,6247.1,28,527,662,,,,,,,,,,,,,,,
189,6283.8,28,527,683,,,,,,,,,,,,,,,
190,6311.7,27,526,703,,,,,,,,,,,,,,,
191,6347.5,27,526,721,,,,,,,,,,,,,,,
192,6379.1,28,525,734,,,,,,,,,,,,,,,
193,6412.2,28,525,744,,,,,,,,,,,,,,,
194,6447.8,28,523,748,,,,,,,,,,,,,,,
195,6479.4,28,523,748,,,,,,,,,,,,,,,
196,6516.2,29,520,742,,,,,,,,,,,,,,,
197,6547.4,28,519,731,,,,,,,,,,,,,,,
198,6579.7,29,517,716,,,,,,,,,,,,,,,
199,6611.8,29,515,697,,,,,,,,,,,,,,,
200,6647.8,29,513,676,,,,,,,,,,,,,,,
201,6683.7,30,510,654,,,,,,,,,,,,,,,
202,6711.5,29,508,632,,,,,,,,,,,,,,,
203,6748.9,30,506,613,,,,,,,,,,,,,,,
204,6779.4,29,503,596,,,,,,,,,,,,,,,
205,6811.7,29,502,582,,,,,,,,,,,,,,,
206,6847.3,29,499,573,,,,,,,,,,,,,,,
207,6879.2,29,497,569,,,,,,,,,,,,,,,
208,6911.5,28,495,571,,,,,,,,,,,,,,,
209,6947.2,29,494,577,,,,,,,,,,,,,,,
210,6979.5,29,492,588,,,,,,,,,,,,,,,
211,7011.4,29,490,603,,,,,,,,,,,,,,,
212,7047.9,30,488,621,,,,,,,,,,,,,,,
213,7082.4,30,488,640,,,,,,,,,,,,,,,
214,7112.0,30,487,661,,,,,,,,,,,,,,,
215,7147.4,30,486,684,,,,,,,,,,,,,,,
216,7179.5,30,488,703,,,,,,,,,,,,,,,
217,7211.4,30,488,721,,,,,,,,,,,,,,,
218,7247.1,29,489,735,,,,,,,,,,,,,,,
219,7279.4,29,491,745,,,,,,,,,,,,,,,
220,7311.9,29,493,749,,,,,,,,,,,,,,,
221,7347.5,29,495,749,,,,,,,,,,,,,,,
222,7379.2,29,497,742,,,,,,,,,,,,,,,
223,7415.2,30,499,732,,,,,,,,,,,,,,,
224,7447.8,30,501,716,,,,,,,,,,,,,,,
225,7479.4,30,503,698,,,,,,,,,,,,,,,
226,7511.7,31,507,676,,,,,,,,,,,,,,,
227,7548.0,30,508,655,,,,,,,,,,,,,,,
228,7579.7,30,512,634,,,,,,,,,,,,,,,
229,7611.7,30,513,614,,,,,,,,,,,,,,,
230,7647.0,29,517,597,,,,,,,,,,,,,,,
231,7679.5,29,518,583,,,,,,,,,,,,,,,
232,7712.2,28,519,574,,,,,,,,,,,,,,,
233,7750.3,28,520,569,,,,,,,,,,,,,,,
234,7779.4,28,521,570,,,,,,,,,,,,,,,
235,7811.6,28,521,576,,,,,,,,,,,,,,,
236,7847.2,28,521,587,,,,,,,,,,,,,,,
237,7879.7,29,520,601,,,,,,,,,,,,,,,
238,7911.8,29,520,618,,,,,,,,,,,,,,,
239,7947.5,30,517,638,,,,,,,,,,,,,,,
240,7979.4,30,517,658,,,,,,,,,,,,,,,
241,8011.5,30,514,680,,,,,,,,,,,,,,,
242,8051.8,30,511,701,,,,,,,,,,,,,,,
243,8079.5,30,509,718,,,,,,,,,,,,,,,
244,8115.8,30,507,733,,,,,,,,,,,,,,,
245,8149.3,29,505,743,,,,,,,,,,,,,,,
246,8179.3,29,503,748,,,,,,,,,,,,,,,
247,8211.7,29,501,748,,,,,,,,,,,,,,,
248,8247.7,30,498,744,,,,,,,,,,,,,,,
249,8279.7,30,495,733,,,,,,,,,,,,,,,
250,8311.7,30,492,719,,,,,,,,,,,,,,,
251,8347.2,31,490,701,,,,,,,,,,,,,,,
252,8379.2,31,489,681,,,,,,,,,,,,,,,
253,8411.4,31,488,658,,,,,,,,,,,,,,,
254,8447.5,32,485,637,,,,,,,,,,,,,,,
255,8479.8,31,487,616,,,,,,,,,,,,,,,
256,8511.2,31,485,599,,,,,,,,,,,,,,,
257,8547.0,30,487,585,,,,,,,,,,,,,,,
258,8579.3,29,485,575,,,,,,,,,,,,,,,
259,8628.8,29,486,570,,,,,,,,,,,,,,,
260,8648.6,29,487,571,,,,,,,,,,,,,,,
261,8679.8,29,487,576,,,,,,,,,,,,,,,
262,8711.7,30,488,587,,,,,,,,,,,,,,,
263,8747.4,30,488,601,,,,,,,,,,,,,,,
264,8779.5,31,489,617,,,,,,,,,,,,,,,
265,8812.0,31,491,638,,,,,,,,,,,,,,,
266,8847.3,32,493,657,,,,,,,,,,,,,,,
267,8879.2,32,495,679,,,,,,,,,,,,,,,
268,8911.9,32,497,698,,,,,,,,,,,,,,,
